user,star,fork,watch,issue,pull_requests,projects,commits,branches,packages,releases,contributers,license_ contributor,"license_110
    
    contributors","license_2
    
    contributors",license_AGPL-3.0,license_Apache-2.0,license_BSD-2-Clause,license_BSD-3-Clause,license_CC-BY-4.0,license_CC-BY-SA-4.0,license_CC0-1.0,license_Fetching contributors,license_GPL-2.0,license_GPL-3.0,license_ISC,license_LGPL-2.1,license_LGPL-3.0,license_MIT,license_MPL-2.0,license_MS-PL,license_OFL-1.1,license_Unlicense,license_View license,license_WTFPL,license_contributor,license_contributors
MLEveryday,15300,4300,1100,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChristosChristofidis,15000,4700,1200,0,7,0,419,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Developer-Y,14600,2000,765,3,0,0,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oxford-cs-deepnlp-2017,14500,3500,1300,10,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zziz,14500,2300,1200,15,7,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mxgmn,14200,728,469,3,0,0,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
trekhleb,13900,2700,746,11,7,0,239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mozilla,13700,2600,617,62,5,4,2697,43,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kailashahirwar,13300,3200,1100,6,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ty4z2008,13200,4700,1900,0,0,0,1272,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tensorflow,13100,1100,348,433,71,9,3765,60,0,0,314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emilwallner,12600,1300,533,3,1,1,174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
virgili0,12500,2500,873,1,0,0,1181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
apache,12300,2000,798,11,0,0,4495,7,0,0,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
academic,12100,3400,1300,0,0,0,441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
amark,11600,734,315,139,19,0,2100,8,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ray-project,11200,1700,376,809,116,0,4472,15,0,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PaddlePaddle,11200,2900,677,1395,739,43,23,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zergtant,11200,3500,462,26,1,0,201,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datawhalechina,11000,2500,391,16,0,0,280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
microsoft,10800,2900,437,41,17,1,1854,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RaRe-Technologies,10700,3700,453,278,37,3,3913,8,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rasbt,10600,4100,826,5,2,0,532,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
keon,10300,1900,594,1,3,0,429,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ujjwalkarn,10200,3100,804,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alex000kim,10000,2600,406,3,1,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hangtwenty,9900,1800,590,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tensorflow,9900,2500,457,504,2,0,4321,3,0,0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gunthercox,9800,3400,541,217,12,0,1832,5,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bharathgs,9700,2100,572,0,0,0,714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google-research,9700,1700,469,95,32,0,911,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple,9600,990,369,491,15,1,1479,2,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
